Question,Global Subject,Question Intent,aiml_main_prediction,aiml_sub_prediction,bert_main_prediction,bert_sub_prediction
"Hey, what can you tell me about your design?",START,START,OFF_TOPIC,OFF_TOPIC,OFF_TOPIC,OFF_TOPIC
"Hi there, can you explain your features?",START,START,START,START,AUTOMATON,DESCRIPTION
"Greetings, I’m here to understand how you work.",START,START,OFF_TOPIC,OFF_TOPIC,OFF_TOPIC,OFF_TOPIC
"Hello, let’s start with a simple chat.",START,START,START,START,OFF_TOPIC,OFF_TOPIC
"Hey, can you show me what you can do?",START,START,OFF_TOPIC,OFF_TOPIC,AUTOMATON,DESCRIPTION
"Hi, I’d like to know about your functions.",START,START,START,START,OFF_TOPIC,OFF_TOPIC
"Greetings, I’m eager to learn from you.",START,START,OFF_TOPIC,OFF_TOPIC,OFF_TOPIC,OFF_TOPIC
"Hello, can you guide me through your capabilities?",START,START,START,START,OFF_TOPIC,OFF_TOPIC
"Hey, what are you programmed for?",START,START,OFF_TOPIC,OFF_TOPIC,OFF_TOPIC,OFF_TOPIC
"Hi, let’s begin our conversation.",START,START,START,START,OFF_TOPIC,OFF_TOPIC
"Greetings, I’m here to explore your operations.",START,START,OFF_TOPIC,OFF_TOPIC,OFF_TOPIC,OFF_TOPIC
"Hello, can you tell me more about yourself?",START,START,START,START,OFF_TOPIC,OFF_TOPIC
"Hey, I’m excited to see how you respond.",START,START,OFF_TOPIC,OFF_TOPIC,OFF_TOPIC,OFF_TOPIC
What is the layout of the states in this automaton?,AUTOMATON,DESCRIPTION,STATE,DETAILS,STATE,COUNT
Could you show me how each state relates to the others?,AUTOMATON,DESCRIPTION,OFF_TOPIC,OFF_TOPIC,STATE,COUNT
Explain how the states in this automaton transition from one to another.,AUTOMATON,DESCRIPTION,OFF_TOPIC,OFF_TOPIC,TRANSITION,LABEL
Could you explain the automaton’s transitions in more detail?,AUTOMATON,DESCRIPTION,OFF_TOPIC,OFF_TOPIC,TRANSITION,LIST
What’s the concise version of the automaton’s design?,AUTOMATON,DESCRIPTION_BRIEF,OFF_TOPIC,OFF_TOPIC,GRAMMAR,ACCEPTED
Could you detail a list of every node and arc that comprises the finite state automaton?,AUTOMATON,LIST,OFF_TOPIC,OFF_TOPIC,TRANSITION,LABEL
Could you identify a repeating pattern in the arc connections?,AUTOMATON,PATTERN,AUTOMATON,PATTERN,TRANSITION,LABEL
What graphical form do the arcs take?,AUTOMATON,REPRESENTATION,OFF_TOPIC,OFF_TOPIC,TRANSITION,LABEL
Could you show me a diagram of the automaton?,AUTOMATON,REPRESENTATION,OFF_TOPIC,OFF_TOPIC,TRANSITION,LIST
How would you describe the automaton's alphabet?,GRAMMAR,SYMBOLS,AUTOMATON,DESCRIPTION,AUTOMATON,DESCRIPTION
What additional information can you share about the node labeled q0?,STATE,DETAILS,OFF_TOPIC,OFF_TOPIC,TRANSITION,EXISTENCE_FROM
What can you tell me about the attributes of the node q0?,STATE,DETAILS,TRANSITION,EXISTENCE_BETWEEN,TRANSITION,EXISTENCE_INTO
What characteristics define the transitions between states?,TRANSITION,OVERVIEW,OFF_TOPIC,OFF_TOPIC,AUTOMATON,DESCRIPTION
Are any of the automaton's states connected to themselves by a transition?,TRANSITION,SELF_LOOP,OFF_TOPIC,OFF_TOPIC,AUTOMATON,DESCRIPTION
How would you formally define a finite state automaton?,GRAMMAR,DEFINITION,OFF_TOPIC,OFF_TOPIC,AUTOMATON,DESCRIPTION
What constitutes a finite state machine in theoretical terms?,GRAMMAR,DEFINITION,OFF_TOPIC,OFF_TOPIC,THEORY,THEORY
How can I mathematically describe an automaton?,GRAMMAR,DEFINITION,AUTOMATON,DESCRIPTION,THEORY,THEORY
What are the core components that make up an automaton?,GRAMMAR,DEFINITION,OFF_TOPIC,OFF_TOPIC,THEORY,THEORY
Can you explain the concept of an initial state in automata theory?,GRAMMAR,STATES,OFF_TOPIC,OFF_TOPIC,THEORY,THEORY
What does the term 'state transition' signify in automata?,GRAMMAR,TRANSITIONS,OFF_TOPIC,OFF_TOPIC,THEORY,THEORY
How can I represent an automaton using a state diagram?,GRAMMAR,GENERIC,OFF_TOPIC,OFF_TOPIC,AUTOMATON,DESCRIPTION
What is the role of the transition function in defining an automaton?,GRAMMAR,TRANSITIONS,STATE,DETAILS,THEORY,THEORY
How does one formally specify the transition function of an automaton?,GRAMMAR,TRANSITIONS,OFF_TOPIC,OFF_TOPIC,THEORY,THEORY
How would you formally define a finite state automaton?,THEORY,THEORY,OFF_TOPIC,OFF_TOPIC,AUTOMATON,DESCRIPTION
How is the language accepted by an automaton determined?,THEORY,THEORY,GRAMMAR,ACCEPTED,GRAMMAR,ACCEPTED
How can I represent an automaton using a state diagram?,THEORY,THEORY,OFF_TOPIC,OFF_TOPIC,AUTOMATON,DESCRIPTION
What distinguishes a deterministic automaton from a nondeterministic one?,THEORY,THEORY,AUTOMATON,DETERMINISTIC,GRAMMAR,ACCEPTED
What are the mathematical constraints when designing an automaton?,THEORY,THEORY,OFF_TOPIC,OFF_TOPIC,GRAMMAR,ACCEPTED
How does the structure of an automaton affect its computational power?,THEORY,THEORY,OFF_TOPIC,OFF_TOPIC,GRAMMAR,ACCEPTED
What is the theoretical basis for the transitions between states?,THEORY,THEORY,STATE,DETAILS,AUTOMATON,DESCRIPTION
How can an automaton be used to recognize regular languages?,THEORY,THEORY,OFF_TOPIC,OFF_TOPIC,GRAMMAR,ACCEPTED
What determines whether an automaton accepts a specific input?,THEORY,THEORY,OFF_TOPIC,OFF_TOPIC,GRAMMAR,ACCEPTED
What is a major component of lignin?,OFF_TOPIC,OFF_TOPIC,STATE,DETAILS,THEORY,THEORY
What maps an encoding?,OFF_TOPIC,OFF_TOPIC,OFF_TOPIC,OFF_TOPIC,THEORY,THEORY
What is a term used for programs that automatically visit websites and record the data they find?,OFF_TOPIC,OFF_TOPIC,STATE,DETAILS,GRAMMAR,ACCEPTED
"What is provided by transmitting four bits that represent the packet type twice, in a single PID byte using complemented form?",OFF_TOPIC,OFF_TOPIC,STATE,DETAILS,GRAMMAR,ACCEPTED
